Date,Price,Open,High,Low,Vol.,Change %
1/16/2014,"26,730.24","26,770.68","26,900.65","26,629.84",226.04M,-0.12%
1/17/2014,"26,913.85","26,810.04","26,973.11","26,810.04",235.86M,0.69%
1/20/2014,"27,000.95","26,928.07","27,069.59","26,835.95",177.20M,0.32%
1/21/2014,"27,104.70","27,012.55","27,180.72","27,012.55",166.49M,0.38%
1/22/2014,"27,015.12","27,112.80","27,213.21","26,948.78",243.79M,-0.33%
1/23/2014,"27,064.34","27,027.86","27,204.54","26,997.86",248.18M,0.18%
1/24/2014,"27,002.89","27,077.99","27,097.10","26,868.04",143.33M,-0.23%
1/27/2014,"26,670.60","27,004.45","27,051.49","26,586.17",126.76M,-1.23%
1/28/2014,"26,653.73","26,672.65","26,796.22","26,635.70",163.82M,-0.06%
1/29/2014,"26,595.63","26,654.39","26,721.61","26,476.24",161.88M,-0.22%
1/30/2014,"26,607.64","26,595.63","26,674.26","26,521.88",183.81M,0.05%
1/31/2014,"26,784.34","26,607.80","26,853.51","26,607.80",194.27M,0.66%
2/3/2014,"26,946.10","26,789.16","27,015.03","26,789.16",182.30M,0.60%
2/4/2014,"26,751.45","26,948.18","26,948.18","26,677.95",185.35M,-0.72%
2/6/2014,"26,862.51","26,777.14","26,906.45","26,752.40",145.15M,0.42%
2/7/2014,"26,681.78","26,879.90","26,925.40","26,640.44",165.59M,-0.67%
2/10/2014,"26,255.21","26,720.05","26,741.56","26,073.85",168.60M,-1.60%
2/11/2014,"26,240.41","26,274.72","26,372.56","26,108.74",144.53M,-0.06%
2/12/2014,"26,677.27","26,239.73","26,708.30","26,239.73",171.24M,1.66%
2/13/2014,"26,541.26","26,683.59","26,860.83","26,511.58",148.50M,-0.51%
2/14/2014,"26,394.13","26,562.69","26,618.17","26,371.69",98.33M,-0.55%
2/17/2014,"26,003.89","26,393.16","26,399.70","25,930.19",97.35M,-1.48%
2/18/2014,"25,884.38","25,976.64","26,066.71","25,572.98",151.53M,-0.46%
2/19/2014,"25,686.93","25,887.99","25,991.51","25,667.81",122.83M,-0.76%
2/20/2014,"25,506.80","25,689.36","25,719.56","25,442.79",130.23M,-0.70%
2/21/2014,"25,603.35","25,507.71","25,715.68","25,385.15",163.51M,0.38%
2/24/2014,"25,773.81","25,625.12","25,895.16","25,625.12",162.73M,0.67%
2/25/2014,"25,559.61","25,780.57","25,804.17","25,528.58",98.58M,-0.83%
2/26/2014,"25,500.50","25,557.50","25,652.41","25,490.62",94.83M,-0.23%
2/27/2014,"25,478.93","25,514.40","25,615.25","25,385.83",87.97M,-0.08%
2/28/2014,"25,783.28","25,500.38","25,880.55","25,477.36",156.31M,1.19%
3/3/2014,"25,853.54","25,922.21","26,044.81","25,803.50",142.31M,0.27%
3/4/2014,"26,209.38","25,853.88","26,223.44","25,772.78",189.96M,1.38%
3/5/2014,"26,521.99","26,188.47","26,539.31","26,186.51",210.64M,1.19%
3/6/2014,"26,842.53","26,525.24","26,883.07","26,525.24",189.54M,1.21%
3/7/2014,"26,892.23","26,854.81","26,979.01","26,800.78",156.84M,0.19%
3/10/2014,"27,176.26","26,894.02","27,220.51","26,834.55",165.74M,1.06%
3/11/2014,"27,309.02","27,177.72","27,351.97","27,177.72",217.03M,0.49%
3/12/2014,"27,115.20","27,348.30","27,427.04","27,080.47",207.55M,-0.71%
3/13/2014,"27,083.12","27,143.94","27,198.78","27,040.99",187.53M,-0.12%
3/14/2014,"27,124.47","27,083.15","27,199.01","27,065.37",195.80M,0.15%
3/17/2014,"27,229.10","27,133.96","27,316.53","27,133.96",153.02M,0.39%
3/18/2014,"27,246.97","27,235.99","27,371.01","27,235.76",128.99M,0.07%
3/19/2014,"27,258.68","27,248.70","27,365.85","27,200.22",179.32M,0.04%
3/20/2014,"27,148.52","27,264.57","27,366.69","27,045.58",133.51M,-0.40%
3/21/2014,"26,765.49","27,164.42","27,210.00","26,684.89",125.97M,-1.41%
3/24/2014,"26,391.41","26,696.69","26,704.39","26,378.36",85.75M,-1.40%
3/25/2014,"26,670.14","26,426.57","26,693.00","26,426.57",80.65M,1.06%
3/26/2014,"26,821.92","26,696.38","26,851.65","26,696.38",79.33M,0.57%
3/27/2014,"27,165.49","26,864.36","27,216.12","26,864.36",174.94M,1.28%
3/28/2014,"27,116.13","27,225.33","27,300.03","27,088.39",128.79M,-0.18%
3/31/2014,"27,159.91","27,155.41","27,252.67","27,062.83",88.88M,0.16%
4/1/2014,"27,565.50","27,200.08","27,595.64","27,200.08",150.21M,1.49%
4/2/2014,"27,932.02","27,639.96","27,961.35","27,639.96",164.60M,1.33%
4/3/2014,"28,336.36","28,013.55","28,386.11","28,013.55",312.79M,1.45%
4/4/2014,"28,408.03","28,385.81","28,481.48","28,289.40",327.56M,0.25%
4/7/2014,"28,578.96","28,459.06","28,625.35","28,361.75",190.78M,0.60%
4/8/2014,"28,653.37","28,583.82","28,817.28","28,574.79",237.45M,0.26%
4/9/2014,"28,941.01","28,642.18","28,961.02","28,573.65",236.39M,1.00%
4/10/2014,"29,250.54","28,979.75","29,276.24","28,979.75",247.30M,1.07%
4/11/2014,"29,249.44","29,295.29","29,491.62","29,066.25",225.13M,0.00%
4/14/2014,"29,094.12","29,250.98","29,376.37","29,049.24",202.04M,-0.53%
4/15/2014,"29,095.77","29,114.74","29,177.15","28,854.78",257.13M,0.01%
4/16/2014,"29,458.15","29,099.63","29,474.76","29,099.63",279.02M,1.25%
4/17/2014,"29,350.34","29,503.43","29,669.95","29,066.08",368.27M,-0.37%
4/18/2014,"29,069.93","29,429.12","29,578.33","29,022.59",186.89M,-0.96%
4/21/2014,"28,878.77","29,078.58","29,121.85","28,814.21",117.24M,-0.66%
4/22/2014,"29,191.84","28,936.75","29,239.59","28,936.75",145.00M,1.08%
4/23/2014,"28,717.19","29,239.62","29,350.21","28,594.86",190.62M,-1.63%
4/24/2014,"28,786.74","28,757.44","28,905.71","28,633.91",126.28M,0.24%
4/25/2014,"28,850.08","28,817.03","28,872.65","28,660.86",130.49M,0.22%
4/28/2014,"28,691.62","28,858.12","28,926.95","28,680.47",112.71M,-0.55%
4/29/2014,"28,436.59","28,735.47","28,735.47","28,288.44",130.52M,-0.89%
4/30/2014,"28,912.98","28,449.14","28,939.74","28,449.14",193.03M,1.68%
5/2/2014,"28,921.13","28,917.74","29,157.39","28,868.09",138.89M,0.03%
5/5/2014,"28,629.63","28,926.70","28,957.33","28,520.48",111.27M,-1.01%
5/6/2014,"28,383.20","28,634.04","28,652.56","28,339.24",82.18M,-0.86%
5/7/2014,"28,330.03","28,383.30","28,509.21","28,297.93",98.05M,-0.19%
5/8/2014,"28,511.02","28,332.44","28,530.44","28,286.24",76.40M,0.64%
5/9/2014,"28,494.54","28,550.87","28,670.38","28,438.71",80.19M,-0.06%
5/12/2014,"28,343.88","28,494.54","28,628.88","28,324.56",51.41M,-0.53%
5/13/2014,"28,411.49","28,343.88","28,486.71","28,306.55",86.09M,0.24%
5/14/2014,"28,528.19","28,441.94","28,653.95","28,424.90",57.20M,0.41%
5/15/2014,"28,843.02","28,546.25","28,944.07","28,546.25",174.97M,1.10%
5/16/2014,"28,883.33","28,926.43","29,032.28","28,854.18",94.69M,0.14%
5/19/2014,"28,951.38","28,902.41","28,968.81","28,842.81",66.09M,0.24%
5/20/2014,"28,842.92","28,965.09","29,030.95","28,793.15",80.97M,-0.37%
5/21/2014,"28,760.12","28,848.94","28,967.46","28,738.04",171.17M,-0.29%
